Date,Day_of_Week,Month,Semester_Status,Students_On_Campus,Staff_On_Campus,Temperature_C,Humidity_Percent,Rainfall_mm,Water_Tank_Level_Start_Liters,Water_Usage_Liters,Water_Pumped_Liters,Energy_Used_for_Pumping_kWh,Leak_Events,Special_Event,Predicted_Water_Demand_Liters
1/1/2025,Wednesday,1,Semester,5198,608,23.6,60,0.3,136976,184620,185748,367.3,0,,185224
1/2/2025,Thursday,1,Semester,4234,482,20.6,34,0.7,137856,158772,157562,315.7,0,,155210
1/3/2025,Friday,1,Semester,4782,628,19.1,48,0.1,114993,175001,177437,349.8,0,Sports_Event,174967
1/4/2025,Saturday,1,Semester,2182,382,18.9,47,1.6,81008,122222,140544,280.2,0,Sports_Event,121469
1/5/2025,Sunday,1,Semester,2056,321,20.8,55,0.7,101736,119863,122736,252.6,0,,117764
1/6/2025,Monday,1,Semester,4876,646,24.4,40,0.7,125358,180239,180891,361.2,0,,182747
1/7/2025,Tuesday,1,Semester,5144,568,22.9,60,2.9,182223.7008,176670,178072,355.7,1,,176887
1/8/2025,Wednesday,1,Semester,4880,627,17,42,1.1,138927,170391,173506,340.5,0,,169136
1/9/2025,Thursday,1,Semester,5366,646,20.7,50,4.5,164296,183817,185353,376.1,1,,182836
1/10/2025,Friday,1,Semester,4414,643,22.7,45,1.1,124135,166264,167830,334.4,0,Festival,167274
1/11/2025,Saturday,1,Semester,3065,356,22.6,44,6.6,129536,133415,133806,259.7,0,,133565
1/12/2025,Sunday,1,Semester,3238,342,22.8,44,8.5,100783,143560,143835,294,0,,141286
1/13/2025,Monday,1,Semester,5561,507,23.5,66,0.2,117664,189398,193957,394.9,0,,185521
1/14/2025,Tuesday,1,Semester,5027,535,23.2,35,5.5,168748,175575,176246,359,0,,172497
1/15/2025,Wednesday,1,Semester,5090,724,18,46,0.2,93998,182097,201046,395.2,0,,182723
1/16/2025,Thursday,1,Semester,5138,565,22.6,47,0,112141,179944,180118,350.7,0,,181585
1/17/2025,Friday,1,Semester,4610,682,24.9,36,2.1,140612,175362,176060,353.3,0,,173138
1/18/2025,Saturday,1,Semester,2255,346,22.9,47,3.2,150679,132405,134545,274.1,0,,130262
1/19/2025,Sunday,1,Semester,2178,369,21.4,52,0,126896,124938,126259,258.7,0,,123821
1/20/2025,Monday,1,Semester,5342,637,18.9,46,1.7,139632,182801,198587,397.6,0,,179943
1/21/2025,Tuesday,1,Semester,5143,664,24.7,55,0.9,152628,180083,197539,397.1,0,,181370
1/22/2025,Wednesday,1,Semester,6000,665,24.8,54,4.4,146284,193578,193326,382.8,0,,193782
1/23/2025,Thursday,1,Semester,5925,470,23.7,28,0.1,107671,191753,196093,393.2,0,,189927
1/24/2025,Friday,1,Semester,5086,623,20.4,66,2.6,145847,178004,180667,356,0,,180135
1/25/2025,Saturday,1,Semester,2262,345,23.3,53,1.1,121643,123770,126246,239.6,0,,120617
1/26/2025,Sunday,1,Semester,2775,434,24.6,29,0.9,117894,135197,140005,254.1,0,Festival,132636
1/27/2025,Monday,1,Semester,4898,520,26.1,30,2,126789,174605,191692,402.2,0,,172151
1/28/2025,Tuesday,1,Semester,5184,635,20.5,45,5.6,120367,173953,177873,372.8,0,,169072
